,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10
0,None,None,None,None,None,None,None,None,None,None
1,자산,합병,합병법인,법인,가액,항,양도,적격,적격합병,장부
2,관계,등,위탁관계,횡령죄,재물,위탁,보호,성립,보관자,소유자
3,None,None,None,None,None,None,None,None,None,None
4,등,경우,이전,지분,분할,공유물,청구,공유자,다음,추인
5,등,근로,업무,휴직,복귀,임금,주가,근로자,불이익,사업주가
6,데,제공,중요,정보,결정,확인,중개,전달,중개사,사항
7,해당,조,저,취소,하나,의료법,각호,제,선고,이상
8,한계,교통권,수,접견교통권,현실적,실적,행사,일탈,신체,현
9,보유자,입수,시간,통상,수,상당,공개,노력,다수인,비용
10,허가,전용,부담금,보전,농지전용허가,농지보전부담금,권리,경매,절차,변경
11,적격심사,수,공공성,무효,사정,공정성,심사,적격,결정,하자
12,등,정보처리장치,장치,처리,수색,컴퓨터,정보,전자정보,저장,전자
13,피보전권리,피,지가,금,권리,처분금지가처분,보전,부동산,처분,등기
14,상속인,재산,상속,상속분,가액,상속재산,공동,공동상속인,특별,경우
15,점유,건물,수,공유자,철거,토지,소유자,사용,청구,소유
16,직무,수행,유기죄,직무유기죄,등,직무수행,공무원,경우,구체적,성실
17,신탁,업자,이하,집합투자업자,대부계약,법률,집합,계약,신탁업자,제
18,은행,이체,사이,자금,송금,수취,계좌,대출,약정,수취은행
19,상품,상표,표시,지정상품,지정,등,사용,원재료,등록,해당
20,None,None,None,None,None,None,None,None,None,None
21,자산,합병,합병법인,법인,가액,항,양도,적격,적격합병,장부
22,관계,등,위탁관계,횡령죄,재물,위탁,보호,성립,보관자,소유자
23,None,None,None,None,None,None,None,None,None,None
24,등,경우,이전,지분,분할,공유물,청구,공유자,다음,추인
25,등,근로,업무,휴직,복귀,임금,주가,근로자,불이익,사업주가
26,데,제공,중요,정보,결정,확인,중개,전달,중개사,사항
27,해당,조,저,취소,하나,의료법,각호,제,선고,이상
28,한계,교통권,수,접견교통권,현실적,실적,행사,일탈,신체,현
29,보유자,입수,시간,통상,수,상당,공개,노력,다수인,비용
30,허가,전용,부담금,보전,농지전용허가,농지보전부담금,권리,경매,절차,변경
31,적격심사,수,공공성,무효,사정,공정성,심사,적격,결정,하자
32,등,정보처리장치,장치,처리,수색,컴퓨터,정보,전자정보,저장,전자
33,피보전권리,피,지가,금,권리,처분금지가처분,보전,부동산,처분,등기
34,상속인,재산,상속,상속분,가액,상속재산,공동,공동상속인,특별,경우
35,점유,건물,수,공유자,철거,토지,소유자,사용,청구,소유
36,직무,수행,유기죄,직무유기죄,등,직무수행,공무원,경우,구체적,성실
37,신탁,업자,이하,집합투자업자,대부계약,법률,집합,계약,신탁업자,제
