,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10
0,사건,대지,건물,등기,부분,상고,피고,전유,판결,전유부분
1,주식,법인,합병,양도,세법,제,법인세법,익금,금액,규정
2,사건,피고인,판결,원심,피해자,공소,운영,금원,등,관계
3,피고,사건,조,제,체결,판단,적용,약관법,원고,원심
4,사건,피고,판결,부동산,원고,지분,중,원심,처분,청구
5,등,휴직,매니저,업무,사건,담당,육아,육아휴직,사업,조
6,보증금,사건,원고,임대차,공인,주택,중개사,계약,다가구주택,중개
7,조,제,해당,경우,취소,항,선고,저,사유,의료법
8,접견,변호인,교도관,수,위계,수용자,집행,원심,미결수용자,사건
9,부품,수,회사,제품,등,자료,피해자,입수,정보,시간
10,허가,부담금,보전,변경,농지보전부담금,보조,건축,전용,농지,사건
11,입찰,사건,계약,낙찰자,차,공고,결정,이유,체결,입찰공고
12,수색,압수,영장,수색영장,등,정보,전자정보,저장,전자,외
13,등기,사건,원고,이전,소유권,가처분,청구,가압류,보전,권리
14,재산,상속,분할,상속분,상속인,구체적,원심,상속재산,상대방,청구인
15,사건,판결,점유,토지,철거,건물,공유자,부분,피고,소유자
16,피고인,직무,기간,채점,중학교,답안지,이유,성적,판결,직무유기죄
17,사건,신탁,참가인,보조,보조참가인,회사,승계참가인,위,승계,연체
18,은행,판결,계좌,대출,송금,수취,이체,사이,약정,자금
19,상품,사용,원재료,상표,등,표시,판결,사건,표,지정상품
20,사건,대지,건물,등기,부분,상고,피고,전유,판결,전유부분
21,주식,법인,합병,양도,세법,제,법인세법,익금,금액,규정
22,사건,피고인,판결,원심,피해자,공소,운영,금원,등,관계
23,피고,사건,조,제,체결,판단,적용,약관법,원고,원심
24,사건,피고,판결,부동산,원고,지분,중,원심,처분,청구
25,등,휴직,매니저,업무,사건,담당,육아,육아휴직,사업,조
26,보증금,사건,원고,임대차,공인,주택,중개사,계약,다가구주택,중개
27,조,제,해당,경우,취소,항,선고,저,사유,의료법
28,접견,변호인,교도관,수,위계,수용자,집행,원심,미결수용자,사건
29,부품,수,회사,제품,등,자료,피해자,입수,정보,시간
30,허가,부담금,보전,변경,농지보전부담금,보조,건축,전용,농지,사건
31,입찰,사건,계약,낙찰자,차,공고,결정,이유,체결,입찰공고
32,수색,압수,영장,수색영장,등,정보,전자정보,저장,전자,외
33,등기,사건,원고,이전,소유권,가처분,청구,가압류,보전,권리
34,재산,상속,분할,상속분,상속인,구체적,원심,상속재산,상대방,청구인
35,사건,판결,점유,토지,철거,건물,공유자,부분,피고,소유자
36,피고인,직무,기간,채점,중학교,답안지,이유,성적,판결,직무유기죄
37,사건,신탁,참가인,보조,보조참가인,회사,승계참가인,위,승계,연체
38,은행,판결,계좌,대출,송금,수취,이체,사이,약정,자금
39,상품,사용,원재료,상표,등,표시,판결,사건,표,지정상품
40,상대방,집행,사건,등,점유,인도,건물,집행관,법원,수
